Museum	CatalogNumber	Subspecies	Piaggio	Sex	TotalLength	TailLength	HdftLength	EarLength	Weight	Basal	Condylo-basal	GrtstLength	NasalLength	NasalWidth	IncisiveForamen	ZygomaticWidth	MastoidWidth	InterorbitalBreadth	MaxillaryDiastema	PalatalLength	PalatalWidth	PostpalatalLength	InterpterygoidFossa 	AuditalTubeLength	AuditalTubeWidth	AlveolarLngSprChkth	Distb/wInfraorbitalFor	WidthAngularProcess	MandibleLength	MandibularDiastema	AlveolarLgthLwrChkth
MVZ	11413	humboldtiana	coastal	MA	344	38	57	15	NA	63.15	67.89	70.94	26.88	11.25	6.19	55.28	52.6	8.4	18.63	43.86	5.48	19.11	5.14	22.91	10.73	16.02	15.8	22.83	47.51	11.49	16.14
MVZ	18990	humboldtiana	coastal	MA	350	35	55	12	NA	63.54	67.79	70.28	23.78	10.92	7.73	53.81	51.84	10.41	17.36	43.1	5.39	19.93	5.55	21.76	10.42	16.79	15.49	21.9	47.94	10.69	17.31
MVZ	21162	humboldtiana	coastal	MA	365	35	58	NA	NA	64.64	69.07	70.6	25.75	10.15	7.47	53.52	53.46	9.01	19.01	45.21	5.38	19.25	5.49	23.51	10.76	16.12	15.97	22.64	48.75	12.38	17.44
MVZ	20320	nigra	coastal	MA	346	38	55	16	NA	60.92	65.87	68.14	22.85	10.9	5.71	53.53	51.65	10.6	18.71	42.17	4.66	18.58	5.45	21.28	9.64	17.09	15.91	22.09	48.63	12.99	16.75
MVZ	69567	pacifica	pacifica	MA	317	35	50	23	900	58.37	62.52	65.33	22.25	10.39	6.34	53.33	50.02	10.24	18.26	41.71	4.88	16.39	4.3	21.05	8.82	15.46	15.12	20.5	43.92	10.49	15.55
MVZ	94923	pacifica	pacifica	MA	326	38	50	22	NA	63.75	67.53	71.52	27.07	11.98	6.71	54.03	51.37	9.53	18.29	44.28	3.39	19.63	3.96	20.72	9.45	17.62	16.58	22.37	48.59	12.14	17.12
MVZ	94924	pacifica	pacifica	MA	322	38	50	23	NA	64.65	68.46	72.36	21.31	11.84	5.38	53.86	51.13	9.99	19.92	44.81	4.74	19.63	4.26	22.24	9.51	17.98	16.66	22.26	47.98	12.75	16.52
MVZ	94927	pacifica	pacifica	MA	335	33	54	22	NA	63.64	67.39	72.13	26.36	11	6.01	52.13	51.14	9.89	19.14	45.29	5.02	18.37	4.04	22.05	9.47	17.35	17.14	24.35	48.61	11.15	17.03
MVZ	94651	pacifica	pacifica	MA	307	26	49	26	964	64.19	68.04	71.1	25.39	10.86	7.46	52.06	50.57	10.53	19.06	45.66	4.29	18.17	4.64	22.34	9.56	17.2	17.15	23.1	47.77	11.07	16.58
MVZ	94653	pacifica	pacifica	MA	310	20	50	25	1109	65.48	69.58	73.02	27.36	11.61	6.82	54	50.64	9.84	19.79	46.85	4.06	18.39	4.74	22.85	9.5	16.86	16.89	23.66	49.38	12.7	16.47
MVZ	94654	pacifica	pacifica	MA	310	24	49	23	889	61.83	66.13	71.64	25.66	10.74	7.07	51.75	49.85	11.96	18.06	43.69	4.99	17.75	4.71	22.21	9.2	17.34	16.3	21.94	48.34	11.66	16.57
MVZ	94658	pacifica	pacifica	MA	315	20	49	22	859.6	63.44	67.32	70.31	24	10.93	6.76	51.13	49.6	10.31	19.28	44.76	4.37	18.57	3.25	21.44	9.44	16.64	16.27	22.08	48.3	11.33	16.7
MVZ	94659	pacifica	pacifica	MA	305	15	50	23	1050	64.21	68.84	71.94	22.53	9.58	8.21	48.48	50.42	9.81	19.82	45.6	4	18.2	5.09	22.71	8.74	16.52	17.08	22.99	48.75	12.32	16.47
MVZ	94660	pacifica	pacifica	MA	305	18	50	22	921.3	64.45	68.52	71.78	25.62	10.06	7.27	54	51.52	10.45	18.3	45.1	3.22	18.87	4.25	21.77	9.14	17.33	15.51	22.5	47.3	11.41	16.63
MVZ	96058	pacifica	pacifica	MA	290	25	47	21	760.7	61.74	65.23	69.65	25.98	10.3	6.48	49.8	48.74	12.29	19.36	43.51	3.96	17.99	4.24	20.73	8.99	16.98	16.39	21.14	46	11.07	16.82
MVZ	96061	pacifica	pacifica	MA	305	25	49	21	770	62.26	65.84	69.92	25.77	10.79	7.09	53.44	51.47	11.85	18.97	43.93	4.01	17.53	4.06	22.88	9.79	16.7	16.91	24.07	50.23	12.5	16.18
MVZ	96062	pacifica	pacifica	MA	309	18	50	22	832	61.59	65.56	68.41	23.52	10.51	7.26	52.48	47.19	10.88	17.73	42.36	4.91	18.79	5.11	22.4	9.8	17.53	16.73	22.31	48.27	11.19	17.2
MVZ	96063	pacifica	pacifica	MA	295	NA	48	21	820.9	59.88	64.04	66.51	23.56	10.26	7.3	51.37	47.57	10.14	17.59	41.63	4.6	17.75	4.19	20.79	8.42	16.73	16.38	22.95	46.369	10.41	16.62
MVZ	116294	pacifica	pacifica	MA	295	NA	46	NA	817	61.39	64.75	68.84	23.7	9.61	6.69	50.82	48.68	9.12	18.61	43.27	4.77	17.32	4.91	21.08	9.05	17.01	15.19	22.41	45.67	10.9	17.98
MVZ	116295	pacifica	pacifica	MA	294	NA	48	NA	NA	62.16	66.21	69.29	23.9	9.15	6.3	50.28	47.38	9.72	19.17	44.56	4.07	17.06	4.55	21.38	10.84	17.29	15.69	21.77	47.55	11.92	16.77
MVZ	116301	pacifica	pacifica	MA	350	NA	57	NA	1085	65.2	69.72	74.49	27.4	14.16	6.77	56.86	55.24	10.41	18.96	45.12	4.92	19.7	5.58	25.14	10.55	17.55	17.87	23.97	51.54	12.6	16.95
MVZ	116286	pacifica	pacifica	MA	334	NA	56	NA	1184	66.09	70.59	73.46	25.64	13.05	6.94	60.8	55.45	11.4	19.87	46.74	5.7	19.02	4.56	24.53	10.2	16.98	16.42	23.81	50.59	11.59	17.06
MVZ	116287	pacifica	pacifica	MA	321	NA	50	NA	878	62.8	67.33	69.46	24.19	11.64	6.47	55.04	52.57	11.72	18.6	44.24	4.81	18.09	5.04	22.13	9.95	16.52	14.4	22.45	47.3	11.21	16.35
MVZ	116284	pacifica	pacifica	MA	310	0	48	0	973	63.46	67.2	71.05	26.11	11.17	6.68	53.08	49.78	12	19.96	45.79	3.9	17.52	4.85	22.1	8.79	16.73	16.25	22.3	48.21	11.58	16.6
MVZ	94662	pacifica	pacifica	MA	305	38	150	24	NA	61.74	66.02	70.5	24.37	10.21	7.4	56.72	54.77	9.37	19.18	43.47	5.16	17.95	4.53	22.76	9.64	16.35	17.09	24.42	49.7	13.14	16.88
MVZ	94665	pacifica	pacifica	MA	311	36	49	25	988	60.5	64.14	70.16	24.34	9.48	6.98	54.13	53.85	8.67	18.41	42.53	3.55	17.69	4.36	23.13	9.41	16.74	16.29	24.96	48.38	12.01	16.64
MVZ	94667	pacifica	pacifica	MA	330	18	48	27	991	64.71	68.77	74.05	24.9	12.16	8.11	55.96	52.13	9.63	19.44	44.81	4.83	19.42	4.65	23.41	9.64	16.75	16.26	23.45	46.65	10.29	16.93
